	fold_change	P-value	std_error	-log10(P-value)	protein
305					Tpmt
306					Impact
307	-0.06831567976844843	0.9288461315827836	0.7043118344139966	0.03205622329282461	Syngr1
308					Bloc1s1
309	1.4019425605789801	0.3120427618492445	1.1560898977995262	0.5057858868706011	Strn
310	-0.29027537671034764	0.5042250736219678	0.38360040001955437	0.29737556194217857	Dsg2
311	0.5121639867572532	0.5252656720433653	0.7145190881726428	0.27962098093930604	Nipsnap1
312	-0.30461432737661487	0.3431567463114899	0.2712214759996543	0.4645074586498858	Nipsnap2
313	-0.41421042648425777	0.4743500379508002	0.5077172619295928	0.3239010603371781	Septin7
314	3.1320873574089	0.11704654788144914	1.434925779748634	0.9316413906657438	Eif6
315	-0.8699339736597451	0.1359810083572367	0.42956919372923075	0.8665217426709534	Rpl35a
316	-0.23659343613834927	0.5388623024043173	0.3420571101628146	0.2685221976072439	Atp2a2
317					Pja1
318	-0.9059175948404454	0.5879400718136093	1.497654630313018	0.2306669389018248	Supt5h
319	-1.1872673062135475	0.1548982308227893	0.6276276287071236	0.809953542526707	Ilk
320	0.8318591754878759	0.05351636208200755	0.2688006657182648	1.2715134165669977	Chkb
321	-0.4303076889967179	0.5064723474298495	0.5719245782554601	0.29544426143196656	Psmb5
322					Rngtt
323	-0.821885596980525	0.36714601213917364	0.7757719467582176	0.4351611846435756	Dpm1
324	0.439285433052276	0.3383227102985489	0.38653072490294793	0.47066884872013764	Pip4k2a
325	-0.7775416183505035	0.6660641105005054	1.6306515204352419	0.1764839667807743	Eif3d
326					Aif1
327	-0.6453645738733711	0.22606009402820068	0.42484681562434967	0.6457760960931948	Eef1b
328	-0.5648944590396425	0.3032085625074261	0.45565540356343603	0.5182585385372822	Hmox2
329					Ptp4a2
330					Ess2
331	0.3027393505128806	0.5773300895240627	0.4857974717589924	0.2385758071753281	Atxn2
332					Itgb5
333	-0.6536870762662081	0.5189477792220165	0.8971291525084555	0.2848763422223782	Nmt1
334					Nmt2
335	-0.968969711507871	0.29769004185932685	0.7708138944559674	0.5262356928570651	Epb41l2
336	-0.42349637561197917	0.429767397566343	0.46521360183702326	0.3667665334562039	Gpx4
337					Dxo
338	-0.5579098025520137	0.2671183397688437	0.4103436073500379	0.5732962932329256	Gpld1
339					Ctss
340	2.5147455044390155	0.2278235884040921	1.6636582537394682	0.6424013119365594	Emc8
341	-0.9997688764818551	0.6917596769703989	2.2886420828944884	0.16004475683399222	Pdlim1
